send_offset_ms,latency_ms,status_code
30602,8,202
30802,14,202
31000,8,202
31205,8,202
31400,6,202
31602,5,202
31802,6,202
32002,4,202
32201,7,202
32403,7,202
32606,10,202
32805,9,202
33005,12,202
33206,17,202
33403,10,202
33605,10,202
33805,13,202
34006,10,202
34205,13,202
34405,16,202
34606,10,202
34805,9,202
35003,10,202
35206,6,202
35405,9,202
35605,9,202
35803,10,202
36002,9,202
36204,6,202
36404,6,202
36605,11,202
36801,6,202
37006,15,202
37203,9,202
37403,8,202
37604,12,202
37806,14,202
38004,57,202
38205,7,202
38405,13,202
38606,12,202
38802,10,202
39006,9,202
39205,9,202
39400,10,202
39603,9,202
39806,11,202
40005,11,202
40205,9,202
40401,13,202
40603,10,202
40803,9,202
41003,8,202
41206,9,202
41405,7,202
41603,7,202
41806,6,202
42005,7,202
42205,8,202
42405,8,202
42605,8,202
42806,7,202
43005,7,202
43205,11,202
43405,7,202
43605,11,202
43801,13,202
44006,15,202
44205,13,202
44404,13,202
44605,10,202
44805,11,202
45005,12,202
45201,9,202
45406,13,202
45601,13,202
45803,6,202
46005,6,202
46206,6,202
46403,11,202
46603,10,202
46800,6,202
47006,8,202
47205,13,202
47405,15,202
47605,14,202
47803,13,202
48005,14,202
48205,15,202
48406,14,202
48605,10,202
48804,9,202
49006,10,202
49205,10,202
49405,9,202
49603,10,202
49806,10,202
50005,11,202
50205,11,202
50404,11,202
50605,12,202
50805,13,202
51005,7,202
51206,6,202
51400,8,202
51603,14,202
51800,5,202
52005,12,202
52203,9,202
52406,11,202
52605,12,202
52805,12,202
53002,8,202
53203,11,202
53402,8,202
53601,11,202
53805,12,202
54005,12,202
54202,10,202
54405,15,202
54605,9,202
54803,11,202
55003,10,202
55206,7,202
55402,11,202
55604,7,202
55805,10,202
56005,8,202
56205,6,202
56404,12,202
56605,9,202
56802,6,202
57006,12,202
57203,12,202
57403,8,202
57606,8,202
57805,10,202
58005,10,202
58205,11,202
58405,11,202
58604,8,202
58804,9,202
59005,9,202
59203,12,202
59405,9,202
59605,9,202
59803,10,202
60000,13,202
60205,11,202
60406,22,202
60605,10,202
60805,8,202
61002,6,202
61202,5,202
61403,8,202
61606,6,202
61803,6,202
62001,6,202
62203,7,202
62406,5,202
62605,5,202
62804,6,202
63002,6,202
63203,6,202
63402,6,202
63605,11,202
63805,12,202
64006,12,202
64205,12,202
64405,19,202
64605,10,202
64805,10,202
65005,11,202
65205,13,202
65402,8,202
65603,8,202
65805,10,202
66003,9,202
66205,7,202
66404,9,202
66606,11,202
66803,6,202
67005,12,202
67205,15,202
67405,8,202
67605,9,202
67801,10,202
68003,11,202
68201,10,202
68406,11,202
68600,10,202
68803,11,202
69005,10,202
69201,11,202
69406,11,202
69605,12,202
69800,10,202
70006,11,202
70205,10,202
70403,8,202
70600,11,202
70806,11,202
71003,7,202
71203,8,202
71406,6,202
71604,6,202
71805,6,202
72003,15,202
72203,12,202
72405,15,202
72603,13,202
72805,12,202
73005,10,202
73204,7,202
73405,6,202
73605,11,202
73805,10,202
74005,11,202
74205,13,202
74405,13,202
74601,9,202
74802,11,202
75006,14,202
75205,6,202
75405,12,202
75605,12,202
75805,12,202
76005,12,202
76205,13,202
76403,13,202
76605,8,202
76802,6,202
77000,10,202
77206,11,202
77405,10,202
77605,11,202
77805,10,202
78005,13,202
78203,9,202
78403,9,202
78606,7,202
78802,9,202
79005,5,202
79204,16,202
79406,9,202
79605,9,202
79805,10,202
80003,8,202
80204,9,202
80402,10,202
80606,9,202
80800,12,202
81006,11,202
81203,16,202
81405,12,202
81605,7,202
81803,6,202
82001,17,202
82204,13,202
82404,12,202
82601,13,202
82804,10,202
83003,12,202
83205,9,202
83403,10,202
83604,14,202
83802,11,202
84005,10,202
84206,15,202
84405,7,202
84604,11,202
84805,9,202
85003,9,202
85206,5,202
85404,14,202
85605,11,202
85804,12,202
86005,12,202
86204,12,202
86404,15,202
86605,14,202
86805,6,202
87005,14,202
87203,9,202
87405,10,202
87603,17,202
87805,14,202
88002,12,202
88204,14,202
88404,12,202
88604,13,202
88803,12,202
89003,9,202
89202,8,202
89405,11,202
89605,17,202
89805,12,202
90002,12,202
90205,12,202
90404,10,202
90605,11,202
90805,13,202
91004,14,202
91206,15,202
91405,15,202
91601,9,202
91803,9,202
92001,5,202
92205,6,202
92405,6,202
92605,6,202
92804,6,202
93005,6,202
93206,5,202
93405,10,202
93604,13,202
93803,12,202
94005,8,202
94206,6,202
94405,9,202
94605,10,202
94802,15,202
95005,10,202
95205,9,202
95405,12,202
95603,11,202
95805,12,202
96005,11,202
96206,11,202
96401,11,202
96602,8,202
96805,6,202
97004,14,202
97204,10,202
97404,12,202
97605,14,202
97803,14,202
98003,11,202
98205,11,202
98406,10,202
98605,11,202
98805,8,202
99003,9,202
99206,11,202
99405,10,202
99605,9,202
99805,8,202
100003,12,202
100203,13,202
100401,10,202
100603,11,202
100805,10,202
101006,9,202
101205,11,202
101401,11,202
101605,11,202
101802,5,202
102001,6,202
102205,5,202
102405,8,202
102605,11,202
102805,11,202
103006,12,202
103200,9,202
103400,11,202
103605,12,202
103803,12,202
104010,17,202
104201,12,202
104404,13,202
104601,16,202
104805,10,202
105005,8,202
105201,11,202
105404,12,202
105605,14,202
105805,9,202
106005,11,202
106202,8,202
106406,10,202
106605,12,202
106805,4,202
107005,7,202
107204,9,202
107406,8,202
107605,8,202
107805,8,202
108005,9,202
108205,9,202
108405,10,202
108606,13,202
108805,12,202
109003,61,202
109203,7,202
109404,12,202
109603,15,202
109802,14,202
110006,13,202
110202,8,202
110405,12,202
110605,13,202
110804,11,202
111001,12,202
111202,8,202
111405,8,202
111605,12,202
111805,6,202
112004,12,202
112204,11,202
112402,13,202
112602,18,202
112802,9,202
113003,14,202
113203,9,202
113404,6,202
113605,14,202
113806,14,202
114004,14,202
114204,13,202
114405,12,202
114606,16,202
114805,15,202
115003,12,202
115204,15,202
115404,8,202
115605,8,202
115802,9,202
116002,18,202
116205,12,202
116402,11,202
116603,16,202
116803,7,202
117004,12,202
117201,13,202
117403,14,202
117600,16,202
117804,12,202
118004,14,202
118204,14,202
118405,10,202
118606,13,202
118803,13,202
119005,15,202
119205,10,202
119402,13,202
119603,16,202
119801,13,202
