send_offset_ms,latency_ms,status_code
109810,13,202
110011,11,202
110210,9,202
110410,7,202
110600,8,202
110809,13,202
111002,15,202
111204,14,202
111411,14,202
111606,15,202
111804,15,202
112004,14,202
112211,14,202
112404,15,202
112611,15,202
112804,15,202
113011,14,202
113203,5,202
113402,6,202
113610,6,202
113804,9,202
114001,7,202
114204,12,202
114404,12,202
114607,13,202
114810,14,202
115008,13,202
115204,12,202
115403,6,202
115601,5,202
115804,11,202
116010,12,202
116208,11,202
116408,10,202
116604,8,202
116809,13,202
117006,15,202
117204,10,202
117406,8,202
117611,8,202
117808,10,202
118010,10,202
118203,6,202
118400,7,202
118610,5,202
118804,9,202
119002,5,202
119204,9,202
119404,9,202
119608,7,202
119810,7,202
